degradation_cost_rate_eur_per_mwh_eq_cycle,gross_charging_cost_eur,gross_discharge_revenue_eur,gross_arbitrage_margin_eur,equivalent_cycle_energy_mwh,cell_throughput_mwh,equivalent_full_cycles,assumed_degradation_cost_eur,net_margin_after_degradation_eur,baseline_gross_margin_eur,baseline_equivalent_full_cycles,baseline_assumed_degradation_cost_eur,baseline_net_margin_after_degradation_eur,net_improvement_vs_baseline_eur,net_improvement_vs_baseline_percent,grid_charge_energy_mwh,grid_discharge_energy_mwh,charging_hours,discharging_hours,idle_hours,utilization_percent,minimum_soc,maximum_soc,final_soc,all_days_solver_success,realized_gross_value_per_mwh_eq_cycle,gross_value_per_efc_eur
0.0,70833.75188365651,135664.809275,64831.0573913435,1238.2315789473682,2476.4631578947365,619.1157894736841,0.0,64831.0573913435,19588.284905263165,292.8,0.0,19588.284905263165,45242.772486080336,230.96852381355797,1303.4016620498614,1176.3200000000002,1556,1557,5671,35.439435336976324,0.1,0.9,0.5,True,52.35778063943173,104.71556127886346
10.0,56123.467645429366,120065.13802500001,63941.67037957064,1006.1868421052632,2012.3736842105263,503.0934210526316,10061.868421052632,53879.80195851801,19588.284905263165,292.8,5856.0,13732.284905263165,40147.51705325484,292.35860841969225,1059.1440443213296,955.8775,1276,1257,6251,28.836520947176687,0.1,0.9,0.5,True,63.54850580811046,127.09701161622093
20.0,44535.39747922438,105952.89215,61417.49467077563,836.6026315789474,1673.2052631578947,418.3013157894737,16732.052631578947,44685.442039196685,19588.284905263165,292.8,11712.0,7876.284905263165,36809.15713393352,467.3416157068742,880.634349030471,794.7725,1096,1025,6663,24.14617486338798,0.1,0.9,0.5,True,73.41298288156277,146.82596576312554
30.0,33281.03290858726,90901.98245000001,57620.94954141276,685.6447368421052,1371.2894736842104,342.8223684210526,20569.342105263157,37051.6074361496,19588.284905263165,292.8,17568.0,2020.2849052631645,35031.322530886435,1733.9793233926684,721.7313019390583,651.3625,919,831,7034,19.922586520947178,0.1,0.9,0.5,True,84.03907511461303,168.07815022922605
