month,gross_margin_eur,degradation_cost_eur,net_margin_eur,equivalent_full_cycles,grid_charge_energy_mwh,grid_discharge_energy_mwh
2024-01,1788.6326108033243,860.3684210526316,928.2641897506928,21.50921052631579,45.282548476454295,40.86750000000001
2024-02,1706.632816689751,900.3157894736843,806.3170272160668,22.507894736842104,47.38504155124654,42.765
2024-03,3059.469666481995,1256.421052631579,1803.048613850416,31.410526315789472,66.12742382271469,59.68000000000001
2024-04,5217.644665927978,1528.421052631579,3689.2236132963994,38.21052631578947,80.4432132963989,72.60000000000001
2024-05,5830.479864127425,1632.4736842105265,4198.006179916898,40.81184210526316,85.9196675900277,77.5425
2024-06,6365.056200069253,1553.3157894736844,4811.740410595569,38.83289473684211,81.75346260387812,73.78250000000001
2024-07,6652.646419182826,1622.3684210526317,5030.277998130195,40.55921052631579,85.38781163434903,77.0625
2024-08,7581.980378462605,1673.3684210526317,5908.611957409974,41.834210526315786,88.07202216066483,79.48500000000001
2024-09,7277.884632686982,1713.3157894736842,5564.568843213297,42.83289473684211,90.17451523545706,81.38250000000001
2024-10,6011.732689196677,1774.3157894736842,4237.416899722993,44.357894736842105,93.38504155124654,84.28
2024-11,5288.641529016621,1207.2105263157896,4081.431002700832,30.180263157894736,63.53739612188366,57.3425
2024-12,4636.693198130194,1010.1578947368421,3626.5353033933525,25.253947368421052,53.16620498614959,47.9825
